user_id,post_count,like_count_sum,reply_count_sum,repost_count_sum,quote_count
275269,11,12,1,1,1
275896,53,244,16,162,21
275900,8,19,10,0,0
275929,321,3136,296,587,191
275938,16,19,2,6,1
276154,3,6,1,3,0
276155,1,2,1,1,1
276540,71,154,13,38,35
276560,1,69,1,30,0
278050,3,8,4,0,0
279754,12,55,7,6,0
279878,1,3,0,0,0
279912,2,7,1,0,1
279934,4,20,1,12,0
281378,3,12,0,0,2
285360,1,2,0,0,1
285841,63,628,36,97,3
286049,6,8,1,2,0
288231,44,282,27,32,5
288354,88,2282,135,592,39
288414,6,11,5,0,1
291505,2,24,3,30,1
291560,92,634,61,116,19
291639,1,2,0,0,0
291642,2,0,0,0,0
292020,7,20,2,2,0
292289,4,9,0,8,0
292417,1,1,0,0,0
292671,1,0,0,0,0
293520,18,29,3,0,0
294458,2,1,0,0,0
294901,32,34,4,1,3
295249,9,21,10,0,0
295838,1,2,1,0,0
295862,11,37,3,2,1
296567,2,7,1,6,0
296718,23,38,5,2,5
296783,36,72,22,14,7
297615,34,17,4,0,0
297940,30,1271,19,390,0
297983,7,36,9,6,0
298128,24,37,13,9,9
298585,89,645,58,116,21
298587,1,1,0,0,0
298593,29,49,5,6,2
298597,24,98,10,31,11
299262,194,708,231,132,20
299341,2,4,1,1,0
299689,2,5,0,0,0
299812,45,157,38,21,13
299824,2,2,1,1,0
302657,18,35,4,3,1
302664,1,7,1,1,0
304209,3,25,1,3,0
304569,4,13,0,0,0
304586,15,27,1,3,1
304638,1,3,0,0,0
304645,38,170,3,100,10
304648,1,1,0,0,0
304742,2,4,1,0,0
304945,245,255,93,6,40
309327,9,38,4,9,1
310783,44,158,22,48,5
311725,1,5,0,8,0
311742,30,287,12,116,7
312696,36,155,34,25,11
312795,18,18,2,0,0
313922,1,1,0,0,0
314353,4,29,10,5,2
314637,24,148,23,38,7
316750,1,7,1,0,0
316857,16,47,2,13,0
317961,2,2,0,0,0
318335,48,290,38,26,2
319767,39,51,16,1,0
319783,2,12,0,1,1
319808,87,151,35,4,2
319836,26,58,4,3,1
319861,1,1,0,0,0
319904,7,64,2,7,4
319950,2,3,0,0,0
319968,11,13,1,4,1
319976,5,4,2,1,0
320273,97,222,25,13,2
320548,3,43,5,8,0
320761,8,17,3,9,0
321356,20,21,1,6,2
322521,2,2,0,0,1
325309,27,90,14,15,8
325341,2,9,4,3,0
326740,39,159,21,15,14
327087,11,40,6,4,0
327287,65,250,27,97,27
328616,1,19,1,13,0
329623,74,350,43,61,25
329762,8,22,3,11,0
329767,2,6,0,2,1
329800,1,8,1,4,0
330574,2,6,1,2,0
330612,20,16,4,4,6
331439,8,36,1,4,0
332208,3,13,0,4,1
335276,32,173,40,10,9
336307,12,7,1,1,10
336309,1444,3534,487,306,153
336311,29,16,11,0,8
336926,2,0,0,0,0
337828,14,557,24,182,9
338378,32,133,4,26,0
340954,102,356,55,57,34
341371,23,58,4,10,1
341372,4,62,2,4,0
341394,1,1,0,0,0
343918,2,4,1,0,1
345450,131,444,57,58,43
345466,2,128,9,67,0
345467,1,10,0,3,0
346299,64,122,47,5,7
347241,24,42,6,3,6
348065,1,0,0,0,0
348158,9,46,8,9,2
348693,1,2,1,0,0
351843,5,1,1,0,0
352241,1,1,0,0,0
353606,2,1,1,0,0
354122,4,0,0,0,2
354529,35,219,19,38,2
355566,89,236,8,156,14
355676,18,16,2,2,0
355832,10,48,11,5,3
356705,14,15,3,3,1
358221,14,177,8,3,0
358569,1,10,2,0,0
358578,2,2,0,0,0
358585,22,59,15,11,2
360067,21,92,3,60,2
360091,4,122,9,44,0
360122,21,101,11,36,3
360645,1,1,0,0,1
361060,250,306,49,61,28
361062,551,1031,143,165,24
361075,98,454,66,109,44
361241,23,20,4,6,4
361858,287,6109,360,1588,55
361912,6,135,8,62,0
363475,110,95,8,7,5
363731,4,3,1,1,0
365178,2,3,0,0,1
365184,33,80,17,4,1
365267,10,7,2,0,0
365286,11,11,0,2,0
366105,3,30,2,2,0
368872,2,4,0,0,0
369636,3,5,1,5,1
370781,4,15,1,2,0
372181,1,1,0,1,0
372296,4,3,1,0,0
372412,17,25,3,3,1
372714,32,31,7,2,8
374470,20,32,5,4,13
375555,1,0,0,0,0
375565,2,2,0,0,0
375606,2,6,1,0,0
376389,64,148,10,15,2
378115,5,29,3,12,0
380089,41,455,44,100,8
381158,9,32,6,4,1
381342,32,113,11,4,0
381409,78,332,57,13,37
385036,5,35,3,8,0
386475,218,200,38,38,24
386776,12,29,2,14,0
386920,2,7,0,6,0
388123,5,9,1,0,0
389014,6,15,0,9,0
389049,2,1,0,0,0
389550,3,1,0,0,0
390526,5,1,0,0,0
391696,3,4,2,1,0
392041,34,265,14,75,2
393828,88,240,28,10,35
393907,2,8,0,0,0
395235,15,90,8,31,0
396587,5,10,0,0,0
398800,1,2,0,0,0
398829,48,367,23,70,2
399109,96,330,36,54,47
399110,3,2,0,0,3
400319,8,19,2,5,5
401626,4,7,0,1,1
401628,28,39,6,0,2
401648,10,229,12,172,0
403202,40,136,43,22,8
403203,47,217,36,19,26
403904,5,10,1,0,0
407846,3,18,1,18,1
407895,2,6,1,4,0
407930,33,212,8,126,4
407935,5,42,3,14,1
407960,22,105,5,33,0
407971,5,39,3,32,0
408033,2,6,1,0,0
408874,2,0,0,0,0
409868,2,8,1,0,0
414704,53,35,53,3,9
418490,5,23,0,8,1
418601,544,3489,345,316,155
422679,45,244,56,50,10
422721,5,61,1,34,0
423143,12,20,2,0,10
428431,2,8,0,4,0
429394,1,1,0,0,0
430361,1,9,3,2,0
430427,272,755,181,126,25
430440,15,55,10,2,0
434286,4,2,2,0,1
434423,1,0,0,0,0
434442,6,30,3,3,0
434573,14,24,4,3,0
434621,6,5,1,1,1
435074,5,4,0,0,0
439196,1,0,0,0,0
443279,1,0,0,0,0
443970,7,20,1,5,0
445356,2,7,1,0,0
447873,3,6,1,0,0
448084,23,156,21,44,0
449042,18,395,13,527,13
449566,1,2,0,1,0
450495,12,60,11,9,0
452959,1,2,1,0,0
453014,3,2,0,0,0
454956,11,100,3,13,0
455155,4,4,1,0,1
455464,1,6,1,0,0
458435,53,87,15,11,17
458517,20,105,13,32,5
458525,10,52,5,9,2
459518,3,19,1,1,0
462934,7,9,1,1,1
468470,12,40,3,9,5
468958,44,209,19,89,9
471834,685,3216,365,324,565
471839,24,33,4,8,5
471841,149,100,35,23,61
471861,205,1347,186,131,63
471868,11,35,7,1,1
471874,11,22,3,9,10
471883,464,631,47,54,108
471887,37,63,11,12,24
471888,7,15,2,1,0
471889,67,102,24,29,20
471896,27,39,8,0,0
471897,418,2476,274,392,185
471902,3,5,1,0,1
471909,20,101,9,38,1
471911,1,1,0,0,0
471917,3,15,3,16,1
471919,361,581,70,76,105
471922,17,20,1,2,3
472476,38,87,9,28,23
472862,3,6,0,1,0
473925,1,1,0,0,0
474676,45,23,5,6,12
474725,1,0,0,0,0
476691,1,3,0,2,0
477837,4,11,4,0,0
480390,64,64,10,10,10
487088,5,1,1,0,0
487182,8,14,1,0,0
487200,19,18,2,5,0
487240,1,1,0,0,0
487313,3,0,0,0,0
487457,1,1,0,0,0
488489,632,8095,1095,2860,119
491413,586,1801,151,296,349
493060,650,864,306,134,210
493999,2,12,1,0,0
496896,2,27,2,0,0
498729,7,26,3,7,1
501551,88,341,36,33,12
501552,1,1,0,0,0
501582,10,4,2,0,1
501587,11,24,1,0,0
505514,1,9,0,6,1
505521,2,0,0,0,0
505901,1,13,0,4,1
505966,1,10,0,1,1
505972,5,10,3,0,2
506589,114,379,41,67,37
507093,390,3518,145,1465,94
508401,19,57,1,27,0
508413,4,15,0,2,1
509872,127,558,116,18,4
512928,4,5,0,0,0
515538,14,148,2,119,3
515720,301,790,70,164,55
519428,46,75,8,18,3
519443,20,18,4,3,8
519875,328,1029,74,274,2
519904,676,1318,109,462,234
520238,1,1,0,0,0
525870,5,12,2,1,0
527101,8,7,1,2,0
528006,1,0,0,0,0
528098,5,13,3,0,1
528110,3,0,0,0,0
528300,11,58,10,2,0
529290,7,12,1,3,0
530701,48,130,30,34,10
530751,8,12,2,1,1
530958,9,19,1,5,1
531132,4,1,1,1,2
535470,30,32,19,5,0
535473,122,252,72,40,4
537025,35,107,3,19,9
537040,2,6,1,0,0
537126,5,4,1,5,0
537137,35,219,15,33,14
537139,13,5,3,0,5
542647,85,139,9,34,44
544870,1,0,0,0,0
545791,2,3,1,0,0
545980,2,3,1,1,0
546211,1,5,2,2,1
547905,4,353,6,43,0
547920,2,4,0,0,0
549043,3,3,1,0,0
549949,9,25,0,6,1
550863,21,41,17,1,1
551321,189,506,111,180,87
553693,1,2,0,0,0
554684,1,6,0,0,0
556024,138,234,51,36,3
556596,3,1,1,1,1
558233,2,5,2,0,0
567713,1,1,0,0,0
569241,1,3,1,0,0
569242,3,3,3,0,0
569251,7,4,0,2,1
570348,3,3,0,0,0
570625,5,3,1,0,3
570950,14,38,3,5,0
576952,1,3,1,0,0
578610,4,8,0,0,2
578672,4,2,0,0,3
579437,1,2,0,0,0
579572,8,2,2,0,0
580360,3,8,1,0,0
581006,1,0,0,0,0
582851,3,1,0,0,0
583205,18,37,3,4,2
583514,34,217,16,40,1
586778,19,39,4,0,0
587368,74,160,42,31,5
587467,14,34,8,0,4
588655,3,0,0,0,0
